time,tstat
0,0.8718554094500238
1,-6.5427458100365286
2,-1.9173161868173063
3,7.123242796626531
4,3.1531518270364467
5,-6.688878108486676
6,-3.946838447568196
7,5.209194285839139
8,6.463879505452015
9,-3.6837665258116354
10,0.8273015876870696
11,2.5789576796734424
12,0.12410483911343191
13,-3.0510184284674167
14,3.396601628636387
15,-1.1225307945203726
16,-6.644191212248813
17,-1.1910853910560164
18,-3.682805936279019
19,10.570983877586144
20,0.5838699399341561
21,-5.149169191032505
22,0.37941365702267077
23,0.8978308198192917
24,-5.109160059917167
25,-0.506448305546145
26,3.143876878221763
27,1.9871290111194946
28,-0.2899241951743656
29,-4.334579182666348
30,1.2925406196366915
31,2.5043999031942907
32,-3.9666972858307115
33,-3.748939195813403
34,0.9136443740148623
35,10.416142910222556
36,-2.4553715949105928
37,-4.223654812420982
38,2.7544015855635227
39,-0.0040705438783750145
40,-7.556655560423431
41,-0.4805791554757778
42,-2.9252178699980798
43,4.544620233882867
44,0.16395059779618645
45,-2.443197566914606
46,1.727449977136574
47,-0.45620013788195574
48,-4.0987531987294625
49,0.4369092250078306
50,-12.295577568374966
51,2.011112644469234
52,1.5022594925106505
53,-4.546335261880691
54,2.8899919136074406
55,2.271613126452942
56,-4.7044179791476965
57,-1.546909409437718
58,-4.499180730991945
59,7.488835697559615
60,0.0021715624500860424
61,-3.8003007589429774
62,1.874941496072551
63,-1.596376771485817
64,-3.123035623083441
65,0.1422440526966575
66,-2.1324681109931665
67,7.122049877578126
68,-0.7676436970358662
69,-4.7742744399373
70,2.6088411252970958
71,2.835445500872071
72,-3.766754609462942
73,-1.2212105026433877
74,-5.857749161834485
75,7.064420395943703
76,1.2693933150599126
77,-7.141834865345194
78,2.1263866202786006
79,3.0512427805653393
80,-2.8820493705375143
81,-3.2235125833218707
82,-4.290587627198477
83,9.155465655982026
84,-2.7091695455459908
85,-5.4409722915685546
86,6.405870245430953
87,-0.9638310488971108
88,-6.083000829563467
89,0.45988480585186686
90,-4.61461947473349
91,6.100048222418464
92,-1.5507613980221646
93,-3.7985728381879817
94,2.7424746311879082
95,0.8198579061328457
96,-3.4656905742622035
97,0.3799400843672305
98,-7.882020157943942
99,2.7044781602407055
100,2.0809584527345932
101,-3.3055999763071697
102,0.6500450493186898
103,1.1623074850394428
104,-1.877678541529213
105,-1.19411958069326
106,-4.952518157975817
107,8.027658038435156
108,-1.2223256489708183
109,-3.85577864137305
110,2.9402660819242676
111,0.10391761833332591
112,-2.5466754110153076
113,0.7712902150207784
114,-1.8702086549625878
115,4.6484002345007704
116,-1.0923583808251065
117,-4.969560939561588
118,2.0808793888639676
119,2.9914679833665456
120,-6.925873424719239
121,0.9958385027461156
122,3.968159863822392
123,5.880944854478198
124,-7.232027948529096
125,-4.1390442468524755
126,18.36721567089519
127,-0.3463100971916552
128,-26.829907737915015
129,8.239299737435223
130,-2.038663459831175
131,-0.0032370556047093043
132,0.6379421747488119
133,-1.7601411692701738
134,-4.668522829071484
135,-0.24622707291775087
136,4.83730743182165
137,2.639958999781559
138,-5.366882904392988
139,0.7186775473485921
140,5.15121755728266
141,-11.82543444957352
142,5.575008014389755
143,10.319320294299807
144,-5.540722266212659
145,-8.165603930786363
146,17.229718437678663
147,0.7827760225723732
148,-18.950764787187225
149,12.638520751598488
150,-5.127859182747251
151,4.812704391434417
152,4.9586114078006345
153,-4.885826486626757
154,8.070484356803718
155,1.28150677907746
156,-1.2301850682615483
157,-2.8949678644208703
158,3.163948868636486
159,-3.6680609281782104
160,-17.555651397697673
161,-3.215922333044039
162,11.064832211978157
163,-6.223357929321922
164,-10.735531856462035
165,7.409629677939226
166,4.644750805708706
167,-21.748544504939158
168,5.7364910184825435
169,-3.3282099060864763
170,-4.658069150335787
171,6.21219048276875
172,3.7328164418422554
173,-12.21413836091853
174,-2.9564010103094733
175,2.6021464942719086
176,0.6324794080705185
177,-5.898938505082263
178,-3.1817474342110064
179,5.09110091152536
180,-0.3573547447909872
181,2.3356484313711343
182,5.294295383572256
183,-2.637992047911707
184,-1.719217042188908
185,4.720673186993075
186,-3.1431944406249257
187,-3.555791245402924
188,2.3903891303575824
189,4.53531862382446
190,-0.514418926540429
191,-0.8241521526774563
192,-6.319747742509627
193,6.920240956462366
194,5.2015735094139375
195,-17.166647628119392
196,4.39237248858677
197,-3.705300957764374
198,-5.238875479933124
199,12.428101004684073
200,4.394824023462632
201,3.064916301037956
202,0.39875289292254484
203,-2.195193789300187
204,-1.6148929615363163
205,2.9377812640415595
206,-0.441541322963077
207,-1.7167428081934624
208,0.09995226497022414
209,-0.7584580119065634
210,-0.9207605156622132
211,-0.9965886196395591
212,0.23746177803533547
213,-1.9733566372682616
214,2.4321135377474787
215,1.4480243881220358
216,-7.934691429054611
217,-0.5349574451166424
218,-0.8384063568699788
219,0.8886410032640573
220,3.7115807270284162
221,-5.40715977517653
222,-4.356110643124364
223,3.6909187943697415
224,0.22572159795568794
225,1.0926166874807932
226,-2.008736550805174
227,-0.8884525180519599
228,-0.8747089787072114
229,0.9692463805424392
230,-1.3310902034058152
231,3.437188911871124
232,-1.8463359193322484
233,0.1280438203715421
234,-0.19425215795213435
235,0.8918988897602917
236,0.7775756398746844
237,0.2261178245053762
238,-0.025644298529692945
239,0.520781851123489
240,-1.9182032895821113
241,-0.46174612025634015
242,-2.041882546249096
243,0.8943170315913603
244,2.160836019427204
245,-1.1509197497502546
246,-1.551932893189612
247,0.0468524513647195
248,-0.03895255799664425
249,1.8959407968500785
250,1.1547483794087317
251,-2.6541276244822463
252,-2.2410430645095234
253,1.9066027578019613
254,-0.5808935901789862
255,-2.1668026154671898
256,0.5425096903156555
257,1.6395595489300807
258,-0.6390098991601679
259,1.311112774239708
260,1.0489794956863332
261,-0.6555764860076368
262,-0.42525862364356376
263,-0.8985544970087983
264,0.8973189935698664
265,-1.213192302859396
266,1.6641101696628622
267,-0.6174397204329136
268,-0.932105684678252
269,0.8271955609860505
270,-0.20081918977728702
271,0.3226023509781617
272,-0.14592581431154425
273,1.4130696306296804
274,0.6040938087519392
275,-0.9407766131790875
276,-1.4149460353239374
277,0.6159992101756807
278,0.7764263521442057
279,-0.36801707410536716
280,-0.22267544316066543
281,-0.6773947157020455
282,0.7423950489554706
283,-0.031684670131401076
284,-0.7887163263322299
285,-0.1330210272906753
286,-0.1462462060557118
287,-0.7049591727374839
288,0.9435727320558862
289,-2.0231042343007926
290,1.1121622533399036
291,-0.7565464026626492
292,-1.3482215183342707
293,1.7608314702020957
294,0.7742436191733933
295,0.4637719631676633
296,-0.3012291792306883
297,-1.8798909880704853
298,0.409460229934666
299,0.2218260493289123
300,0.871179502855399
301,0.36353215223060575
302,-1.8911572908315952
303,1.3383952197130204
304,0.35227613519341844
305,-0.19007130046439782
306,-0.7608890173301405
307,0.24600643047622958
308,-0.6288234012396055
309,0.39782704426658255
310,1.8572966195169784
311,1.436484513215324
312,0.20349529388160112
313,-0.8473106433916369
314,0.6668864774096841
315,-0.3308368464921402
316,1.5316059577018177
317,1.170675695870493
318,0.21511068804969713
319,-1.944431896145481
320,-0.12222422949557611
321,1.6570783281480297
322,0.5559092288394808
323,-1.6045115248915656
324,-0.3856647679977362
325,2.1062156129465164
326,-2.2304696915672664
327,-3.5208890876798
328,0.8677881907670018
329,0.3935569243442336
330,-0.22060748181924195
331,-1.3310876052497338
332,0.9217292981299152
333,-1.9191254897999068
334,0.5326788202167388
335,1.2781133872143313
336,0.6949277379545875
337,0.19386037869275793
